,Folder,File,Settings,Toolchain,Message,Runtime (ns),Allocated memory end (bytes),Peak memory consumption (bytes),Overall iterations,Overall time,Minimization time,Initial property automaton Locations,Initial property automaton Edges,Initial RCFG Locations,Initial RCFG Edges,Initial product Locations,Initial product Edges,Optimized Product Locations,Optimized Product Edges,Trivial modules,Deterministic modules,Nondeterministic modules,Remainer module,Avg Locs trivial modules,Avg Locs deterministic modules,Avg Locs nondeterministic modules
,P14,Problem14_prop_029.c,Default-LBE-Multi+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: NO_RESULT   NO_RESULT,159652666793.0,7904690176,1544179464,28,150739139763,5359809673,3,6,670,853,1991,5030,676,2495,27,0,0,Unknown,8.037037037037036,0.0,0.0
,P14,Problem14_prop_029.c,Default-LBE-Multi+SBE+SASBE+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer: OutOfMemoryError: GC overhead limit exceeded],904731664455.0,7.94034176E+9,4891296272,0,2188189,0,3,6,670,2092,1991,12464,1002,11151,-,-,-,-,-,-,-
,P14,Problem14_prop_029.c,Default-LBE-Multi+SBE+SASBE.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer: OutOfMemoryError: GC overhead limit exceeded],902451960029.0,7635730432,5.12717252E+9,0,2322755,0,3,6,670,2092,1991,12464,1002,11151,-,-,-,-,-,-,-
,P14,Problem14_prop_029.c,Default-LBE-Multi.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: NO_RESULT   NO_RESULT,146531902891.0,7635730432,1610571352,28,137455693885,5576189914,3,6,670,853,1991,5030,676,2495,27,0,0,Unknown,8.037037037037036,0.0,0.0
,P14,Problem14_prop_030.c,Default-LBE-Multi+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],31646735320.0,7327973376,1304465792,16,24496072600,593928080,2,3,670,853,1331,2522,606,1545,15,0,0,-,5.066666666666666,0.0,0.0
,P14,Problem14_prop_030.c,Default-LBE-Multi+SBE+SASBE+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],175224262236.0,7422345216,4415590152,29,174020775017,24310035786,2,3,670,2092,1331,6239,823,5302,28,0,0,-,3.9285714285714284,0.0,0.0
,P14,Problem14_prop_030.c,Default-LBE-Multi+SBE+SASBE.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],176035266971.0,7121928192,3402961136,29,174843634667,27958888468,2,3,670,2092,1331,6239,823,5302,28,0,0,-,3.9285714285714284,0.0,0.0
,P14,Problem14_prop_030.c,Default-LBE-Multi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],32069263933.0,7635730432,1013469808,16,25008000805,650225353,2,3,670,853,1331,2522,606,1545,15,0,0,-,5.066666666666666,0.0,0.0
,P14,Problem14_prop_031.c,Default-LBE-Multi+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],81745497461.0,7510949888,1.3337234E+9,26,74104026605,3751644060,3,6,670,853,1991,5030,943,2709,25,0,0,-,6.4,0.0,0.0
,P14,Problem14_prop_031.c,Default-LBE-Multi+SBE+SASBE+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],546843943413.0,7729577984,2282082864,36,543768100018,77166430015,3,6,670,2092,1991,12464,1264,11457,35,0,0,-,3.914285714285714,0.0,0.0
