,Folder,File,Settings,Toolchain,Message,Runtime (ns),Allocated memory end (bytes),Peak memory consumption (bytes),Overall iterations,Overall time,Minimization time,Initial property automaton Locations,Initial property automaton Edges,Initial RCFG Locations,Initial RCFG Edges,Initial product Locations,Initial product Edges,Optimized Product Locations,Optimized Product Edges,Trivial modules,Deterministic modules,Nondeterministic modules,Remainer module,Avg Locs trivial modules,Avg Locs deterministic modules,Avg Locs nondeterministic modules
,coolant,coolant_basis_1_neg.c,LtlSoftwareModelCheckingC.epf,LtlSoftwareModelCheckingC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   Violation of LTL property !(G((A ==> G(A)))) ,7205901662,1018167296,573277656,3,6306258407,31929805,2,3,72,94,148,245,123,200,1,1,0,Nonterminating,3.0,6.0,0.0
,coolant,coolant_basis_1_safe_sfty.c,LtlSoftwareModelCheckingC.epf,LtlSoftwareModelCheckingC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],287559372.0,1245708288,60471584,3,144192938,14357200,3,5,72,94,214,406,186,344,2,0,0,-,3.0,0.0,0.0
,coolant,coolant_basis_1_unsafe_sfty.c,LtlSoftwareModelCheckingC.epf,LtlSoftwareModelCheckingC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   Violation of LTL property !(G((A ==> G(A)))) ,3063203748.0,1244135424,5.3439216E+8,3,2933753411,19528535,2,3,73,95,150,248,124,200,1,1,0,Nonterminating,3.0,6.0,0.0
,coolant,coolant_basis_2_neg.c,LtlSoftwareModelCheckingC.epf,LtlSoftwareModelCheckingC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   Violation of LTL property !(G(F(A))) ,2530683521.0,1809317888,1030268736,2,2433597928,5922978,2,4,72,94,146,304,123,254,1,0,0,Nonterminating,3.0,0.0,0.0
,coolant,coolant_basis_2_safe_liveness.c,LtlSoftwareModelCheckingC.epf,LtlSoftwareModelCheckingC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],2825899494.0,2717384704,876389216,15,2736805613,228265073,2,3,72,94,146,241,120,196,0,14,0,-,0.0,6.0,0.0
,coolant,coolant_basis_2_unsafe_liveness.c,LtlSoftwareModelCheckingC.epf,LtlSoftwareModelCheckingC.xml,ExpectedResult: UNSAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timeout while trying to prove G(F(A))],1939778194773.0,2690121728,2701286208,6,1939695697504,1937267329161,2,3,72,94,146,241,123,201,0,6,0,Decomposition not yet finished,0.0,6.0,0.0
,coolant,coolant_basis_3_safe_sftyliveness.c,LtlSoftwareModelCheckingC.epf,LtlSoftwareModelCheckingC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],145131196.0,485490688,28005256,3,45465381,1473946,3,6,66,87,193,421,160,341,2,0,0,-,3.0,0.0,0.0
,coolant,coolant_basis_3_unsafe_sftyliveness.c,LtlSoftwareModelCheckingC.epf,LtlSoftwareModelCheckingC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   Violation of LTL property G((A || G(F(B)))) ,291305896.0,485490688,104993792,3,194287010,3665506,3,6,66,87,193,421,161,345,2,0,0,Nonterminating,3.0,0.0,0.0
,coolant,coolant_basis_4_1_unsafe_sftyliveness.c,LtlSoftwareModelCheckingC.epf,LtlSoftwareModelCheckingC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   Violation of LTL property G((A || (B || F(G(C))))) ,456169160.0,523763712,163695048,5,352493398,10873947,4,8,67,88,195,439,164,359,4,0,0,Nonterminating,3.25,0.0,0.0
,coolant,coolant_basis_4_2_unsafe_sftyliveness.c,LtlSoftwareModelCheckingC.epf,LtlSoftwareModelCheckingC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   Violation of LTL property G((A || (B || F(G(C))))) ,3025524742.0,968359936,633253016,6,2920389787,19353984,4,8,69,93,209,483,179,404,5,0,0,Nonterminating,3.6,0.0,0.0
,coolant,coolant_basis_4_neg.c,LtlSoftwareModelCheckingC.epf,LtlSoftwareModelCheckingC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   Violation of LTL property !(G((A || (B || F(G(C)))))) ,287553860.0,9.568256E+8,96085976,2,170024064,2267877,3,6,66,87,193,421,163,349,1,0,0,Nonterminating,3.0,0.0,0.0
,coolant,coolant_basis_4_safe_sftyliveness.c,LtlSoftwareModelCheckingC.epf,LtlSoftwareModelCheckingC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],263013846.0,980942848,68003216,6,165290123,9842566,4,8,66,87,192,433,161,353,5,0,0,-,3.2,0.0,0.0
,coolant,coolant_basis_4_unsafe_sftyliveness.c,LtlSoftwareModelCheckingC.epf,LtlSoftwareModelCheckingC.xml,ExpectedResult: UNSAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timeout while trying to prove G((A || (B || F(G(C)))))],1199995445125.0,9.568256E+8,345573976,73,1199896452367,2897188338,4,8,68,91,198,457,167,377,72,0,0,Decomposition not yet finished,64.43055555555556,0.0,0.0
,coolant,coolant_basis_5_neg.c,LtlSoftwareModelCheckingC.epf,LtlSoftwareModelCheckingC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   Violation of LTL property !((A U ((B U G(C)) || G(B)))) ,210139829.0,832569344,70092936,2,123172077,829190,4,8,66,87,252,576,165,285,1,0,0,Nonterminating,3.0,0.0,0.0
,coolant,coolant_basis_5_safe_sftyliveness.c,LtlSoftwareModelCheckingC.epf,LtlSoftwareModelCheckingC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],446372493.0,837287936,134027768,4,254300296,7672320,7,26,66,87,428,1769,371,1475,3,0,0,-,3.0,0.0,0.0
,coolant,coolant_basis_5_unsafe_sftyliveness.c,LtlSoftwareModelCheckingC.epf,LtlSoftwareModelCheckingC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   Violation of LTL property (A U ((B U G(C)) || G(B))) ,1934429827.0,953155584,5.1382784E+8,3,1741132193,7267544,7,26,66,87,428,1769,373,1491,2,0,0,Nonterminating,3.0,0.0,0.0
,coolant,coolant_basis_6_safe_sftyliveness.c,LtlSoftwareModelCheckingC.epf,LtlSoftwareModelCheckingC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],695864708.0,1052246016,276591704,11,628074483,15528254,2,3,64,85,131,216,104,169,10,0,0,-,6.5,0.0,0.0
,coolant,coolant_basis_6_unsafe_sftyliveness.c,LtlSoftwareModelCheckingC.epf,LtlSoftwareModelCheckingC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   Violation of LTL property G((A ==> (B ==> F(C)))) ,4279679353.0,1385168896,1022161128,6,4188121228,8714827,2,3,64,85,131,216,104,169,5,0,0,Nonterminating,6.2,0.0,0.0
,ltlcmodelchecker-benchmarks,01-exsec2.c,LtlSoftwareModelCheckingC.epf,LtlSoftwareModelCheckingC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],24498304.0,1367867392,34487088,2,7064455,292467,2,4,18,26,28,64,22,41,1,0,0,-,3.0,0.0,0.0
,ltlcmodelchecker-benchmarks,02-fig8-2007.c,LtlSoftwareModelCheckingC.epf,LtlSoftwareModelCheckingC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],106043710.0,1383596032,34487088,3,37113883,908623,2,3,72,93,149,230,134,209,2,0,0,-,3.5,0.0,0.0
,ltlcmodelchecker-benchmarks,03-toyacquirerelease.c,LtlSoftwareModelCheckingC.epf,LtlSoftwareModelCheckingC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],74740832.0,1367867392,46198784,3,47546313,719441,2,3,31,41,53,94,40,64,1,1,0,-,3.0,5.0,0.0
,ltlcmodelchecker-benchmarks,04-toylinarith1.c,LtlSoftwareModelCheckingC.epf,LtlSoftwareModelCheckingC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   Violation of LTL property (A ==> F(B)) ,178353806.0,1379401728,6.657584E+7,7,114506256,2378204,2,2,36,45,35,41,9,12,5,1,0,Nonterminating,4.4,3.0,0.0
,ltlcmodelchecker-benchmarks,05-toylinarith2.c,LtlSoftwareModelCheckingC.epf,LtlSoftwareModelCheckingC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],319077515.0,1367867392,91304272,8,175092978,3157416,2,2,46,56,45,52,10,14,5,2,0,-,4.8,3.0,0.0
,ltlcmodelchecker-benchmarks,06-postgreSQL_strmsrv.c,LtlSoftwareModelCheckingC.epf,LtlSoftwareModelCheckingC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],875378554.0,1376780288,133151136,3,54900011,1988068,4,8,114,149,278,708,245,627,2,0,0,-,3.0,0.0,0.0
,ltlcmodelchecker-benchmarks,07-postgreSQL_strmsrv_wbug.c,LtlSoftwareModelCheckingC.epf,LtlSoftwareModelCheckingC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],346932142.0,1367867392,136956376,3,50511921,2020042,4,8,114,149,278,708,245,629,2,0,0,-,3.0,0.0,0.0
,ltlcmodelchecker-benchmarks,08-postgreSQL_pgarch.c,LtlSoftwareModelCheckingC.epf,LtlSoftwareModelCheckingC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   Violation of LTL property F(G(A)) ,203474707.0,1375731712,6.657564E+7,3,155138668,4959768,2,4,70,99,160,334,149,302,2,0,0,Nonterminating,3.0,0.0,0.0
,ltlcmodelchecker-benchmarks,09-postgreSQL_dropbuf_prop1.c,LtlSoftwareModelCheckingC.epf,LtlSoftwareModelCheckingC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],411858469.0,1367867392,68478272,3,45222560,852353,2,3,85,109,157,261,127,216,2,0,0,-,3.0,0.0,0.0
,ltlcmodelchecker-benchmarks,10-postgreSQL_dropbuf_prop2.c,LtlSoftwareModelCheckingC.epf,LtlSoftwareModelCheckingC.xml,ExpectedResult: SAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer: UnsupportedOperationException: function symbols not yet supported: de.uni_freiburg.informatik.ultimate.lassoranker.variables.LassoPartitioneer.addInOuAuxVar(LassoPartitioneer.java:247)],1198818600.0,1374683136,133151144,0,1231823,0,3,6,85,109,222,492,191,430,-,-,-,-,-,-,-
,ltlcmodelchecker-benchmarks,11-apache_accept_liveness.c,LtlSoftwareModelCheckingC.epf,LtlSoftwareModelCheckingC.xml,ExpectedResult: SAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer: OutOfMemoryError: GC overhead limit exceeded: java.util.HashMap.createEntry(HashMap.java:901)],1140923302091.0,7635730432,7164878296,0,3339691,0,2,3,376,476,845,1328,785,1237,-,-,-,-,-,-,-
,ltlcmodelchecker-benchmarks,12-apache_progress.c,LtlSoftwareModelCheckingC.epf,LtlSoftwareModelCheckingC.xml,Neither filename nor path nor first line contains a keyword that defines the expected result UltimateResult: [de.uni_freiburg.informatik.ultimate.ltl2aut: UnsupportedOperationException: Unfinished: de.uni_freiburg.informatik.ultimate.ltl2aut.LTL2autObserver.getIRS(LTL2autObserver.java:211)],244352061.0,4783079424,15943864,0,3232868,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,ltlcmodelchecker-benchmarks,13-windows_os_frag1.c,LtlSoftwareModelCheckingC.epf,LtlSoftwareModelCheckingC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],17625174452.0,4783079424,344524632,3,17189493969,1679801,2,3,151,189,319,523,279,460,1,1,0,-,3.0,6.0,0.0
