,Folder,File,Settings,Toolchain,Message,Runtime (ns),Allocated memory end (bytes),Peak memory consumption (bytes),Overall iterations,Overall time,Minimization time,Initial property automaton Locations,Initial property automaton Edges,Initial RCFG Locations,Initial RCFG Edges,Initial product Locations,Initial product Edges,Optimized Product Locations,Optimized Product Edges,Trivial modules,Deterministic modules,Nondeterministic modules,Remainer module,Avg Locs trivial modules,Avg Locs deterministic modules,Avg Locs nondeterministic modules
,LTL/bugs,Bug_AssumeFalse.c,Default+SBE+SASBE.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],1405887172,477626368,15871152,2,205919197,5763967,2,4,18,25,27,57,19,31,1,0,0,-,3.0,0.0,0.0
,LTL/bugs,Bug_AssumeFalse.c,Default+SBE+SASBE.epf,LTLAutomizerCInline.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],274776550.0,477626368,9950584.0,2,91197871,520603,2,4,18,25,27,57,19,31,1,0,0,-,3.0,0.0,0.0
,LTL/bugs,Bug_AssumeFalse.c,Default+SBE.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],177899995.0,477626368,7968760.0,2,67016563,473470,2,4,18,25,27,57,19,31,1,0,0,-,3.0,0.0,0.0
,LTL/bugs,Bug_AssumeFalse.c,Default+SBE.epf,LTLAutomizerCInline.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],216130829.0,477626368,7968760.0,2,83832514,518370,2,4,18,25,27,57,19,31,1,0,0,-,3.0,0.0,0.0
,LTL/bugs,Bug_AssumeFalse.c,Default-LBE-Multi+IB.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],174425377.0,477626368,7968760.0,2,58491654,515246,2,4,18,25,27,57,12,28,1,0,0,-,3.0,0.0,0.0
,LTL/bugs,Bug_AssumeFalse.c,Default-LBE-Multi+IB.epf,LTLAutomizerCInline.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],200044429.0,477626368,7968760.0,2,84863242,499767,2,4,18,25,27,57,12,28,1,0,0,-,3.0,0.0,0.0
,LTL/bugs,Bug_AssumeFalse.c,Default-LBE-Multi+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],148763442.0,477626368,7968760.0,2,70275057,9246845,2,4,18,25,27,57,14,28,1,0,0,-,3.0,0.0,0.0
,LTL/bugs,Bug_AssumeFalse.c,Default-LBE-Multi+NondetBuchi.epf,LTLAutomizerCInline.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],81739638.0,477626368,7932328.0,2,38271046,504172,2,4,18,25,27,57,14,28,1,0,0,-,3.0,0.0,0.0
,LTL/bugs,Bug_AssumeFalse.c,Default-LBE-Multi+SBE+IB-StagedBlast.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],111243776.0,477626368,9950584.0,2,40683415,486833,2,4,18,25,27,57,12,28,1,0,0,-,3.0,0.0,0.0
,LTL/bugs,Bug_AssumeFalse.c,Default-LBE-Multi+SBE+IB-StagedBlast.epf,LTLAutomizerCInline.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],90195136.0,477626368,9950584.0,2,32525302,314255,2,4,18,25,27,57,12,28,1,0,0,-,3.0,0.0,0.0
,LTL/bugs,Bug_AssumeFalse.c,Default-LBE-Multi+SBE+IB.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],100113979.0,477626368,7968760.0,2,37938140,434341,2,4,18,25,27,57,12,28,1,0,0,-,3.0,0.0,0.0
,LTL/bugs,Bug_AssumeFalse.c,Default-LBE-Multi+SBE+IB.epf,LTLAutomizerCInline.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],80329545.0,477626368,9950584.0,2,28676973,333151,2,4,18,25,27,57,12,28,1,0,0,-,3.0,0.0,0.0
,LTL/bugs,Bug_AssumeFalse.c,Default-LBE-Multi+SBE+SASBE+IB-StagedBlast.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],107136876.0,477626368,9950584.0,2,34816332,415151,2,4,18,25,27,57,12,28,1,0,0,-,3.0,0.0,0.0
,LTL/bugs,Bug_AssumeFalse.c,Default-LBE-Multi+SBE+SASBE+IB-StagedBlast.epf,LTLAutomizerCInline.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],248814832.0,477626368,13914232,2,66781961,505991,2,4,18,25,27,57,12,28,1,0,0,-,3.0,0.0,0.0
,LTL/bugs,Bug_AssumeFalse.c,Default-LBE-Multi+SBE+SASBE+IB.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],152433759.0,477626368,7968760.0,2,29429327,310164,2,4,18,25,27,57,12,28,1,0,0,-,3.0,0.0,0.0
,LTL/bugs,Bug_AssumeFalse.c,Default-LBE-Multi+SBE+SASBE+IB.epf,LTLAutomizerCInline.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],79983055.0,477626368,7968760.0,2,25776769,326011,2,4,18,25,27,57,12,28,1,0,0,-,3.0,0.0,0.0
,LTL/bugs,Bug_AssumeFalse.c,Default-LBE-Multi+SBE+SASBE-StagedBlast.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],74068848.0,477626368,9950584.0,2,27231172,368100,2,4,18,25,27,57,14,28,1,0,0,-,3.0,0.0,0.0
,LTL/bugs,Bug_AssumeFalse.c,Default-LBE-Multi+SBE+SASBE-StagedBlast.epf,LTLAutomizerCInline.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],63774097.0,477626368,7968760.0,2,25648426,417558,2,4,18,25,27,57,14,28,1,0,0,-,3.0,0.0,0.0
,LTL/bugs,Bug_AssumeFalse.c,Default-LBE-Multi+SBE+SASBE.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],56575323.0,477626368,7968760.0,2,21564906,316290,2,4,18,25,27,57,14,28,1,0,0,-,3.0,0.0,0.0
,LTL/bugs,Bug_AssumeFalse.c,Default-LBE-Multi+SBE+SASBE.epf,LTLAutomizerCInline.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],55898579.0,477626368,7968760.0,2,21152628,297194,2,4,18,25,27,57,14,28,1,0,0,-,3.0,0.0,0.0
,LTL/bugs,Bug_AssumeFalse.c,Default-LBE-Multi+SBE-StagedBlast.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],67644805.0,477626368,7968760.0,2,26855874,372321,2,4,18,25,27,57,14,28,1,0,0,-,3.0,0.0,0.0
,LTL/bugs,Bug_AssumeFalse.c,Default-LBE-Multi+SBE-StagedBlast.epf,LTLAutomizerCInline.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],51370154.0,477626368,7968760.0,2,21649892,305373,2,4,18,25,27,57,14,28,1,0,0,-,3.0,0.0,0.0
,LTL/bugs,Bug_AssumeFalse.c,Default-LBE-Multi+SBE.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],61935029.0,477626368,7968760.0,2,24205605,336400,2,4,18,25,27,57,14,28,1,0,0,-,3.0,0.0,0.0
,LTL/bugs,Bug_AssumeFalse.c,Default-LBE-Multi+SBE.epf,LTLAutomizerCInline.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],47927329.0,477626368,7968760.0,2,19524387,291455,2,4,18,25,27,57,14,28,1,0,0,-,3.0,0.0,0.0
,LTL/bugs,Bug_AssumeFalse.c,Default-LBE-Multi-SMTInterpol.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],54347715.0,477626368,7968760.0,2,21693131,320792,2,4,18,25,27,57,14,28,1,0,0,-,3.0,0.0,0.0
,LTL/bugs,Bug_AssumeFalse.c,Default-LBE-Multi-SMTInterpol.epf,LTLAutomizerCInline.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],47913155.0,477626368,7968760.0,2,19921644,293088,2,4,18,25,27,57,14,28,1,0,0,-,3.0,0.0,0.0
,LTL/bugs,Bug_AssumeFalse.c,Default-LBE-Multi-StagedBlast.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],62703459.0,477626368,7968760.0,2,28475031,481056,2,4,18,25,27,57,14,28,1,0,0,-,3.0,0.0,0.0
,LTL/bugs,Bug_AssumeFalse.c,Default-LBE-Multi-StagedBlast.epf,LTLAutomizerCInline.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],47068133.0,477626368,9950584.0,2,19202450,295035,2,4,18,25,27,57,14,28,1,0,0,-,3.0,0.0,0.0
,LTL/bugs,Bug_AssumeFalse.c,Default-LBE-Multi-z3.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],865289334.0,477626368,9969256.0,2,69053954,345353,2,4,18,25,27,57,14,28,1,0,0,-,3.0,0.0,0.0
,LTL/bugs,Bug_AssumeFalse.c,Default-LBE-Multi-z3.epf,LTLAutomizerCInline.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],86332167.0,477626368,9273448.0,2,33167885,291121,2,4,18,25,27,57,14,28,1,0,0,-,3.0,0.0,0.0
