,Folder,File,Settings,Toolchain,Message,Runtime (ns),Peak memory consumption (bytes),Overall iterations,NumberOfCodeBlocks,SizeOfPredicatesFP,SizeOfPredicatesBP,Conjuncts in SSA,Conjuncts in UnsatCore,ICC %
,memsafety,20051113-1.c_false-valid-memtrack.i,SMTInterpol_SP-IC-LV-mem.epf,AutomizerC.xml,ExpectedResult: UNSAFE_MEMTRACK UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.traceabstraction: SMTLIBException: Cannot create quantifier in quantifier-free logic: de.uni_freiburg.informatik.ultimate.logic.NoopScript.quantifier(NoopScript.java:305)],451854667.0,19854904,-,-,-,-,-,-,-
,memsafety,20051113-1.c_false-valid-memtrack.i,SMTInterpol_SP-IC-mem.epf,AutomizerC.xml,ExpectedResult: UNSAFE_MEMTRACK UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.traceabstraction: SMTLIBException: Cannot create quantifier in quantifier-free logic: de.uni_freiburg.informatik.ultimate.logic.NoopScript.quantifier(NoopScript.java:305)],413731601.0,46291912,-,-,-,-,-,-,-
,memsafety,20051113-1.c_false-valid-memtrack.i,Z3_SP-IC-LV-mem.epf,AutomizerC.xml,ExpectedResult: UNSAFE_MEMTRACK UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 654) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 680) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 653) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 653) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 663) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 677) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 663) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 675) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 654) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 674) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 674) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 677) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 664) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 676) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 675) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 678) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 679) ShortDescription: Timeout LongDescription: Unable to prove that all allocated memory was freed (line 671) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 676) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 664) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 680) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 679) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 678)],60027169644.0,14809312,20,0,9283,0,2357,291,-
,memsafety,20051113-1.c_false-valid-memtrack.i,Z3_SP-IC-mem.epf,AutomizerC.xml,ExpectedResult: UNSAFE_MEMTRACK UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 654) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 680) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 678) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 654) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 663) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 663) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 674) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 679) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 653) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 680) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 677) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 675) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 678) ShortDescription: Timeout LongDescription: Unable to prove that all allocated memory was freed (line 671) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 677) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 664) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 675) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 679) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 676) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 674) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 676) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 653) ShortDescription: Timeout LongDescription: Unable to prove that pointer dereference always succeeds (line 664)],62697201519.0,1.392964E+7,20,0,10690,0,2357,291,-
,memsafety,20051113-1.c_false-valid-memtrack.i,Z3_SP-LV-mem.epf,AutomizerC.xml,ExpectedResult: UNSAFE_MEMTRACK UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],60257699357.0,31461528,-,-,-,-,-,-,-
,memsafety,20051113-1.c_false-valid-memtrack.i,Z3_SP-mem.epf,AutomizerC.xml,ExpectedResult: UNSAFE_MEMTRACK UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],60001649027.0,3.186456E+7,-,-,-,-,-,-,-
,memsafety,960521-1_false-valid-deref.i,Princess_Interpolation-mem.epf,AutomizerC.xml,ExpectedResult: UNSAFE_DEREF UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],59999829153.0,34487248,-,-,-,-,-,-,-
,memsafety,960521-1_false-valid-deref.i,SMTInterpol_Interpolation-mem.epf,AutomizerC.xml,ExpectedResult: UNSAFE_DEREF UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.traceabstraction: UnsupportedOperationException: Cannot interpolate [((select (store #valid_4 main_#t~malloc4.base_6 true) main_#t~malloc4.base_6) == (select #valid_8 ~a.base_7)::(main_#t~malloc4.base_6 ~a.base_7::((store #valid_4 main_#t~malloc4.base_6 true) #valid_6 (store #valid_6 main_#t~malloc5.base_8 true) #valid_8)]: de.uni_freiburg.informatik.ultimate.smtinterpol.interpolate.Interpolator.interpolate(Interpolator.java:570)],93598375.0,28400744,-,-,-,-,-,-,-
,memsafety,960521-1_false-valid-deref.i,SMTInterpol_SP-IC-LV-mem.epf,AutomizerC.xml,ExpectedResult: UNSAFE_DEREF UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.traceabstraction: SMTLIBException: Cannot create quantifier in quantifier-free logic: de.uni_freiburg.informatik.ultimate.logic.NoopScript.quantifier(NoopScript.java:305)],57921880.0,1.273344E+7,-,-,-,-,-,-,-
,memsafety,960521-1_false-valid-deref.i,SMTInterpol_SP-IC-mem.epf,AutomizerC.xml,ExpectedResult: UNSAFE_DEREF UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.traceabstraction: SMTLIBException: Cannot create quantifier in quantifier-free logic: de.uni_freiburg.informatik.ultimate.logic.NoopScript.quantifier(NoopScript.java:305)],109848946.0,32093808,-,-,-,-,-,-,-
