,Folder,File,Settings,Toolchain,Message,Runtime (ns),Allocated memory end (bytes),Peak memory consumption (bytes),Overall iterations,Overall time,Minimization time,Initial property automaton Locations,Initial property automaton Edges,Initial RCFG Locations,Initial RCFG Edges,Initial product Locations,Initial product Edges,Optimized Product Locations,Optimized Product Edges,Trivial modules,Deterministic modules,Nondeterministic modules,Remainer module,Avg Locs trivial modules,Avg Locs deterministic modules,Avg Locs nondeterministic modules
,LTL/bugs,Bug_NoLoopAtEndForTerminatingPrograms_unsafe.c,None-StagedBlast.epf,LTLAutomizerCInline.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   Violation of LTL property F(A) ,374025485.0,391643136,82348616,3,348994091,2571146,1,1,17,23,16,19,16,19,1,1,0,Nonterminating,3.0,6.0,0.0
,LTL/bugs,Bug_NoLoopAtEndForTerminatingPrograms_unsafe.c,None.epf,LTLAutomizerCInline.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   Violation of LTL property F(A) ,494121962.0,464519168,1.0115324E+8,3,474924680,3609138,1,1,17,23,16,19,16,19,1,1,0,Nonterminating,3.0,6.0,0.0
,LTL/bugs,Bug_ProcedureAssumeFalse.c,None-StagedBlast.epf,LTLAutomizerCInline.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   Violation of LTL property (F(A) || F(B)) ,830170524.0,465043456,118939152,2,782361724,1695409,1,1,29,37,28,33,28,33,1,0,0,Nonterminating,2.0,0.0,0.0
,LTL/bugs,Bug_ProcedureAssumeFalse.c,None.epf,LTLAutomizerCInline.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   Violation of LTL property (F(A) || F(B)) ,474810690.0,465043456,119950272,2,441690469,1555499,1,1,29,37,28,33,28,33,1,0,0,Nonterminating,2.0,0.0,0.0
,LTL/bugs,Bug_ProcedureDNF.c,None-StagedBlast.epf,LTLAutomizerCInline.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],6218120429.0,464519168,135124032,3,6140005075,4693658,1,1,74,81,73,77,73,77,1,1,0,-,5.0,9.0,0.0
,LTL/bugs,Bug_ProcedureDNF.c,None.epf,LTLAutomizerCInline.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],31992684700.0,4.5350912E+8,120387584,3,31929437289,9455783,1,1,74,81,73,77,73,77,1,1,0,-,5.0,9.0,0.0
,LTL/bugs,Bug_ProcedureHandling.c,None-StagedBlast.epf,LTLAutomizerCInline.xml,ExpectedResult: UNSAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],126616951.0,4.3778048E+8,11782768,3,50292666,3828225,3,5,68,82,123,209,123,209,2,0,0,-,3.0,0.0,0.0
,LTL/bugs,Bug_ProcedureHandling.c,None.epf,LTLAutomizerCInline.xml,ExpectedResult: UNSAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],145387814.0,441974784,12378768,3,63362421,5444230,3,5,68,82,123,209,123,209,2,0,0,-,3.0,0.0,0.0
,LTL/bugs,Simple_ex1.c,None-StagedBlast.epf,LTLAutomizerCInline.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],174330474.0,441974784,77333392,6,157803873,6890681,2,3,15,21,22,36,22,36,4,1,0,-,3.5,5.0,0.0
,LTL/bugs,Simple_ex1.c,None.epf,LTLAutomizerCInline.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],282116748.0,441450496,7.712524E+7,6,256751280,13986060,2,3,15,21,22,36,22,36,4,1,0,-,3.5,5.0,0.0
