,File,Settings,Toolchain,Result,Overall time,Overall iterations,Automata difference,Dead end removal time,Minimization time,Time for computing Hoare annotation,BasicInterpolantAutomatonTime,BiggestAbstraction,EdgeCheckerBenchmarkData_SDtfs,EdgeCheckerBenchmarkData_SDslu,EdgeCheckerBenchmarkData_SDs,EdgeCheckerBenchmarkData_lazy,EdgeCheckerBenchmarkData_Sat,EdgeCheckerBenchmarkData_Unsat,EdgeCheckerBenchmarkData_Unknown,EdgeCheckerBenchmarkData_NotChecked,EdgeCheckerBenchmarkData_EdgeCheckerTime,States removed by minization,TraceCheckerBenchmark_SsaConstructionTime,TraceCheckerBenchmark_SatisfiabilityAnalysisTime,TraceCheckerBenchmark_InterpolantComputationTime,TraceCheckerBenchmark_NumberOfCodeBlocks,TraceCheckerBenchmark_NumberOfCodeBlocksAsserted,TraceCheckerBenchmark_NumberOfCheckSat,TraceCheckerBenchmark_SizeOfPredicatesFP,TraceCheckerBenchmark_SizeOfPredicatesBP,TraceCheckerBenchmark_NumberOfQuantifiedPredicates,TraceCheckerBenchmark_Conjuncts in SSA,TraceCheckerBenchmark_Conjuncts in UnsatCore,InterpolantCoveringCapability
,/home/matthias/ultimate/trunk/examples/svcomp/eca-rers2012/Problem05_label35_true-unreach-call.c,/home/matthias/ultimate/trunk/examples/settings/automizer/2TracAutomatonEvaluation/BackwardPredicates_CanonicalAutomaton_SvcompReachPreciseMM.epf,/home/matthias/ultimate/trunk/examples/toolchains/AutomizerCInline.xml,TIMEOUT,22102924508,4,19872389068,0,189899590,0,21360609,size=13115occurred in iteration=3,11582,3401,46,0,17488,6837,0,0,16193196508,0,156485267,1531248821,239903865,6571,6571,4,0,13141,[I@5ca5de6d,8034,9,47/47
,/home/matthias/ultimate/trunk/examples/svcomp/eca-rers2012/Problem05_label35_true-unreach-call.c,/home/matthias/ultimate/trunk/examples/settings/automizer/2TracAutomatonEvaluation/ForwardPredicates_CanonicalAutomaton_SvcompReachPreciseMM.epf,/home/matthias/ultimate/trunk/examples/toolchains/AutomizerCInline.xml,TIMEOUT,21868493172,4,19479785065,0,207569346,0,22563919,size=13115occurred in iteration=3,11254,3211,46,0,17048,6608,0,0,15863637966,0,173847371,1547331444,240083787,6571,6571,4,13141,0,[I@dadf5a0,8034,9,47/47
,/home/matthias/ultimate/trunk/examples/svcomp/eca-rers2012/Problem05_label59_true-unreach-call.c,/home/matthias/ultimate/trunk/examples/settings/automizer/2TracAutomatonEvaluation/BackwardPredicates_CanonicalAutomaton_SvcompReachPreciseMM.epf,/home/matthias/ultimate/trunk/examples/toolchains/AutomizerCInline.xml,TIMEOUT,22074168971,4,20028869166,0,189718411,0,19697284,size=13115occurred in iteration=3,11290,2913,46,0,19041,6897,0,0,16363254123,0,142064300,1388247291,222385474,6566,6566,4,0,13140,[I@17d8e264,8022,8,35/35
,/home/matthias/ultimate/trunk/examples/svcomp/eca-rers2012/Problem05_label59_true-unreach-call.c,/home/matthias/ultimate/trunk/examples/settings/automizer/2TracAutomatonEvaluation/ForwardPredicates_CanonicalAutomaton_SvcompReachPreciseMM.epf,/home/matthias/ultimate/trunk/examples/toolchains/AutomizerCInline.xml,TIMEOUT,21861703561,4,19740308451,0,169390085,0,18831330,size=11476occurred in iteration=3,11044,2713,45,0,18272,6459,0,0,16299929764,0,145796173,1408363009,194309288,6564,6564,4,13110,0,[I@1ff71f77,8050,8,41/41
,/home/matthias/ultimate/trunk/examples/svcomp/eca-rers2012/Problem06_label25_true-unreach-call.c,/home/matthias/ultimate/trunk/examples/settings/automizer/2TracAutomatonEvaluation/BackwardPredicates_CanonicalAutomaton_SvcompReachPreciseMM.epf,/home/matthias/ultimate/trunk/examples/toolchains/AutomizerCInline.xml,TIMEOUT,22182797284,6,19156708406,0,498535240,0,20083313,size=29892occurred in iteration=5,11166,5894,1131,0,14540,4972,0,0,15622958161,1,251154506,1960006668,189151218,5657,5657,6,0,7623,[I@1932ce06,9534,15,83/83
,/home/matthias/ultimate/trunk/examples/svcomp/eca-rers2012/Problem06_label25_true-unreach-call.c,/home/matthias/ultimate/trunk/examples/settings/automizer/2TracAutomatonEvaluation/ForwardPredicates_CanonicalAutomaton_SvcompReachPreciseMM.epf,/home/matthias/ultimate/trunk/examples/toolchains/AutomizerCInline.xml,TIMEOUT,22799442519,6,19749170744,0,506296086,0,18238197,size=29892occurred in iteration=5,11720,6236,1133,0,15398,5355,0,0,16010202674,1,239857389,1993835433,182213251,5657,5657,6,7623,0,[I@5673f8d6,9534,15,83/83
,/home/matthias/ultimate/trunk/examples/svcomp/heap-manipulation/bubble_sort_linux_false-unreach-call.i,/home/matthias/ultimate/trunk/examples/settings/automizer/2TracAutomatonEvaluation/BackwardPredicates_CanonicalAutomaton_SvcompReachPreciseMM.epf,/home/matthias/ultimate/trunk/examples/toolchains/AutomizerCInline.xml,TIMEOUT,29147051462,7,3461303508,0,9525439,0,10768449,size=288occurred in iteration=6,1997,1956,4098,0,1514,59,0,0,3121325127,563,62637883,107125390,2096943623,83,83,6,0,729,[I@4f363106,1136,330,0/5
,/home/matthias/ultimate/trunk/examples/svcomp/heap-manipulation/bubble_sort_linux_false-unreach-call.i,/home/matthias/ultimate/trunk/examples/settings/automizer/2TracAutomatonEvaluation/FPandBP_2TrackAutomaton_SvcompReachPreciseMM.epf,/home/matthias/ultimate/trunk/examples/toolchains/AutomizerCInline.xml,TIMEOUT,28964256352,7,4487856978,0,15295780,0,9246402995,size=272occurred in iteration=3,1725,1101,5287,0,1508,33,0,0,4048929061,476,83310009,156763208,12609615297,83,83,6,1823,737,[I@6ecca98a,1136,326,0/0
,/home/matthias/ultimate/trunk/examples/svcomp/heap-manipulation/bubble_sort_linux_false-unreach-call.i,/home/matthias/ultimate/trunk/examples/settings/automizer/2TracAutomatonEvaluation/ForwardPredicates_CanonicalAutomaton_SvcompReachPreciseMM.epf,/home/matthias/ultimate/trunk/examples/toolchains/AutomizerCInline.xml,TIMEOUT,29103588543,6,4294370753,0,7841079,0,4246981,size=285occurred in iteration=4,1492,1807,2354,0,1067,55,0,0,3239803594,397,61668301,98340238,9051477182,65,65,5,1438,0,[I@3e8edbda,828,282,0/0
,/home/matthias/ultimate/trunk/examples/svcomp/heap-manipulation/bubble_sort_linux_true-unreach-call.i,/home/matthias/ultimate/trunk/examples/settings/automizer/2TracAutomatonEvaluation/BackwardPredicates_CanonicalAutomaton_SvcompReachPreciseMM.epf,/home/matthias/ultimate/trunk/examples/toolchains/AutomizerCInline.xml,TIMEOUT,29211056487,7,4412539308,0,13759023,0,10248705,size=288occurred in iteration=6,1997,1956,4098,0,1514,59,0,0,4073738512,563,100190660,159102024,2189289703,83,83,6,0,729,[I@57d5d5f1,1136,326,0/5
