,Folder,File,Settings,Toolchain,Message,Runtime (ns),Allocated memory end (bytes),Peak memory consumption (bytes),Overall iterations,Overall time,Minimization time,Initial property automaton Locations,Initial property automaton Edges,Initial RCFG Locations,Initial RCFG Edges,Initial product Locations,Initial product Edges,Optimized Product Locations,Optimized Product Edges,Trivial modules,Deterministic modules,Nondeterministic modules,Remainer module,Avg Locs trivial modules,Avg Locs deterministic modules,Avg Locs nondeterministic modules
,bugs,Bug_AssumeFalse.c,LtlAutomizerC.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],629568115,378535936,19866144,5,229571633,15026859,2,4,18,25,27,57,27,68,4,0,0,-,2.75,0.0,0.0
,bugs,Bug_DNF.c,LtlAutomizerC.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],2160464857.0,378535936,6.387452E+7,15,2055587761,81535783,2,3,15,25,22,48,22,65,9,5,0,-,4.333333333333333,4.6,0.0
,bugs,Bug_GloballyNegatedAp.c,LtlAutomizerC.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],74943472.0,378535936,6414848.0,3,38222550,1844007,2,3,12,18,17,28,17,31,2,0,0,-,3.0,0.0,0.0
,bugs,Bug_LtlExtractorGreater.c,LtlAutomizerC.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],35400236.0,378535936,4692512.0,2,12766211,507738,2,3,12,18,17,28,17,28,1,0,0,-,3.0,0.0,0.0
,bugs,Bug_LtlExtractorTerm.c,LtlAutomizerC.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],39791719.0,378535936,3848680.0,2,15987296,347184,2,3,12,18,17,28,17,28,1,0,0,-,3.0,0.0,0.0
,bugs,Bug_LtlExtractorUnaryMinus.c,LtlAutomizerC.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],39234791.0,378535936,4692136.0,2,15570346,343867,2,3,12,18,17,28,17,28,1,0,0,-,3.0,0.0,0.0
,bugs,Bug_NoLoopAtEndForTerminatingPrograms_safe.c,LtlAutomizerC.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],179552559.0,378535936,25084752,6,146713649,8319874,2,3,20,26,31,49,31,49,5,0,0,-,3.8,0.0,0.0
,bugs,Bug_NoLoopAtEndForTerminatingPrograms_unsafe.c,LtlAutomizerC.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   Violation of LTL property F(A) ,260215948.0,378535936,3.977932E+7,5,231406994,8206656,1,1,17,23,16,19,16,24,3,1,0,Nonterminating,3.0,5.0,0.0
,bugs,Bug_ProcedureDNF.c,LtlAutomizerC.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],507842239.0,378535936,5.902224E+7,6,414939487,16305667,1,1,33,51,40,49,40,82,5,0,0,-,4.2,0.0,0.0
,bugs,Bug_ProcedureHandling.c,LtlAutomizerC.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   Violation of LTL property (A || G(B)) ,2107082307.0,378535936,68836872,6,2008602367,609477391,3,5,61,86,125,232,125,232,2,3,0,Nonterminating,3.5,6.0,0.0
,bugs,Simple_ex1.c,LtlAutomizerC.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],114438269.0,477626368,23424704,2,89121462,342058,2,3,15,21,22,36,22,45,0,1,0,-,0.0,6.0,0.0
,coolant,coolant_basis_1_neg.c,LtlAutomizerC.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   Violation of LTL property !(G((A ==> G(A)))) ,3562838332.0,6.6584576E+8,3.4260968E+8,4,3473650946,13470792,2,3,72,95,148,248,148,266,2,1,0,Nonterminating,3.0,6.0,0.0
,coolant,coolant_basis_1_safe_sfty.c,LtlAutomizerC.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],224048665.0,1067450368,45680736,5,138318298,10805300,3,5,72,95,214,411,214,428,4,0,0,-,3.0,0.0,0.0
,coolant,coolant_basis_1_unsafe_sfty.c,LtlAutomizerC.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   Violation of LTL property !(G((A ==> G(A)))) ,1660337184.0,1.0616832E+9,229173336,4,1564405280,11290702,2,3,73,96,150,251,150,269,2,1,0,Nonterminating,3.0,6.0,0.0
,coolant,coolant_basis_2_neg.c,LtlAutomizerC.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   Violation of LTL property !(G(F(A))) ,3658121857.0,1847590912,1359708256,2,3559147033,2663343,2,4,72,95,146,308,146,308,1,0,0,Nonterminating,4.0,0.0,0.0
,coolant,coolant_basis_2_safe_liveness.c,LtlAutomizerC.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],2218651764.0,2774007808,882995688,16,2158485758,76452753,2,3,72,95,146,244,146,244,0,15,0,-,0.0,6.066666666666666,0.0
,coolant,coolant_basis_2_unsafe_liveness.c,LtlAutomizerC.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timeout while trying to prove G(F(A))],1691626431304.0,2793930752,2927882816,6,1691569288500,1689430899592,2,3,72,95,146,244,146,244,0,6,0,Decomposition not yet finished,0.0,6.166666666666667,0.0
,coolant,coolant_basis_3_safe_sftyliveness.c,LtlAutomizerC.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],119270638.0,824705024,39174464,3,41116193,1650794,3,6,66,88,193,427,193,427,2,0,0,-,3.0,0.0,0.0
,coolant,coolant_basis_3_unsafe_sftyliveness.c,LtlAutomizerC.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   Violation of LTL property G((A || G(F(B)))) ,265929940.0,8.257536E+8,116935144,4,197956069,5966610,3,6,66,88,193,427,193,427,3,0,0,Nonterminating,2.6666666666666665,0.0,0.0
,coolant,coolant_basis_4_1_unsafe_sftyliveness.c,LtlAutomizerC.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   Violation of LTL property G((A || (B || F(G(C))))) ,522646222.0,824705024,2.3867356E+8,9,444415068,25184737,4,8,67,89,195,445,195,476,8,0,0,Nonterminating,3.125,0.0,0.0
